config,seed,k_frac,arm,total_neurons,ridge_a1,ridge_a01,ridge_a10,logistic,knn20,archived,n_shuf_reps
cifar10_r50_geo_r,1,0.05,orig,2048,0.7993999719619751,0.7993999719619751,0.7994999885559082,0.8375999927520752,0.7861,0.7993999719619751,1.0
cifar10_r50_geo_r,1,0.05,shuf,2048,0.7361799955368042,0.7361599922180175,0.7361599922180175,0.783519983291626,0.69494,0.7361799955368042,5.0
cifar10_r50_geo_r,1,0.1,orig,2048,0.8479999899864197,0.8479999899864197,0.8479999899864197,0.8740999698638916,0.8263,0.8479999899864197,1.0
cifar10_r50_geo_r,1,0.1,shuf,2048,0.8060399889945984,0.8060399889945984,0.8060399889945984,0.8399599909782409,0.7454799999999999,0.8060399889945984,5.0
cifar10_r50_geo_r,1,0.15,orig,2048,0.8678999543190002,0.8678999543190002,0.8678999543190002,0.887499988079071,0.8371,0.8678999543190002,1.0
cifar10_r50_geo_r,1,0.15,shuf,2048,0.8397799730300903,0.8397799730300903,0.8397799730300903,0.8631999850273132,0.7767200000000001,0.8397799730300903,5.0
cifar10_r50_geo_r,1,0.2,orig,2048,0.8788999915122986,0.8788999915122986,0.8788999915122986,0.8914999961853027,0.8509,0.8788999915122986,1.0
cifar10_r50_geo_r,1,0.2,shuf,2048,0.8548999786376953,0.8548999786376953,0.8548999786376953,0.8757599830627442,0.7987399999999999,0.8548999786376953,5.0
cifar10_r50_geo_r,1,0.25,orig,2048,0.8883000016212463,0.8883000016212463,0.8883000016212463,0.8955000042915344,0.8571,0.8883000016212463,1.0
cifar10_r50_geo_r,1,0.25,shuf,2048,0.8686399817466736,0.8686399817466736,0.868619978427887,0.8799799680709839,0.8135600000000001,0.8686399817466736,5.0
cifar10_r50_geo_r,1,0.3,orig,2048,0.890999972820282,0.890999972820282,0.8908999562263489,0.8974999785423279,0.8606,0.890999972820282,1.0
cifar10_r50_geo_r,1,0.3,shuf,2048,0.8752599835395813,0.8752399802207946,0.8752399802207946,0.8825199723243713,0.8229200000000001,0.8752599835395813,5.0
cifar10_r50_geo_r,1,0.5,orig,2048,0.9019999504089355,0.9019999504089355,0.9019999504089355,0.8959999680519104,0.87,0.9019999504089355,1.0
cifar10_r50_geo_r,1,0.5,shuf,2048,0.893399977684021,0.8933799862861633,0.893399977684021,0.8887799739837646,0.84878,0.893399977684021,5.0
cifar10_r50_geo_r,2,0.05,orig,2048,0.7805999517440796,0.7805999517440796,0.7805999517440796,0.8162999749183655,0.7704,0.7805999517440796,1.0
cifar10_r50_geo_r,2,0.05,shuf,2048,0.7406599998474122,0.7406599998474122,0.7406799793243408,0.7860999703407288,0.69374,0.7406599998474122,5.0
cifar10_r50_geo_r,2,0.1,orig,2048,0.8330000042915344,0.8330000042915344,0.8330000042915344,0.859499990940094,0.8062,0.8330000042915344,1.0
cifar10_r50_geo_r,2,0.1,shuf,2048,0.8086799860000611,0.8086599826812744,0.8086999773979187,0.8402799844741822,0.7490400000000002,0.8086799860000611,5.0
