dataset,model,coord_mode,null_kind,k_frac,n_seeds,orig_mean,null_mean,gap,ci_lo,ci_hi,raw_p,holm_p,bh_p,sig_holm,sig_bh
cifar10,vit,geo_m,mean of 5 permutations,1.0,10,0.9404000043869019,0.9404000043869019,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,False,False
stl10,r50,geo_r,mean of 5 permutations,0.05,10,0.9278875410556793,0.8585950422286988,0.06929249882698059,0.05099920244216025,0.08758579521180093,0.0009765625,0.01953125,0.006510416666666667,True,True
stl10,r50,geo_r,mean of 5 permutations,0.1,10,0.9575125455856324,0.9253550446033477,0.03215750098228454,0.025198715309518283,0.03911628665505079,0.0009765625,0.01953125,0.006510416666666667,True,True
stl10,r50,geo_r,mean of 5 permutations,0.15,10,0.9643625497817994,0.9484225451946259,0.015940004587173474,0.011187463446578722,0.020692545727768227,0.0009765625,0.01953125,0.006510416666666667,True,True
stl10,r50,geo_r,mean of 5 permutations,0.2,10,0.9668875515460968,0.9582000422477723,0.00868750929832458,0.004059340386130866,0.013315678210518295,0.0029296875,0.0498046875,0.0146484375,True,True
stl10,r50,geo_r,mean of 5 permutations,0.25,10,0.9692250490188599,0.9641725420951843,0.005052506923675537,-0.0025735167131312455,0.01267853056048232,0.052734375,0.84375,0.17578125,False,False
stl10,r50,geo_r,mean of 5 permutations,0.3,10,0.970175051689148,0.9676150512695312,0.0025600004196167036,-0.0007325934702519317,0.005852594309485339,0.052734375,0.84375,0.17578125,False,False
stl10,r50,geo_r,mean of 5 permutations,0.35,10,0.9706750452518463,0.9703650510311126,0.0003099942207336337,-0.0026318037473626434,0.003251792188829911,0.4609375,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.4,10,0.971675044298172,0.9716350507736207,3.999352455138494e-05,-0.001529158588773457,0.0016091456378762266,0.384765625,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.45,10,0.9717000424861908,0.9732750487327575,-0.001575006246566779,-0.0036795571131263386,0.0005295446199927805,0.947265625,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.5,10,0.9729500532150268,0.9740750479698181,-0.0011249947547912642,-0.002972130298344659,0.0007221407887621301,0.7841796875,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.55,10,0.9736375510692596,0.9747575461864472,-0.0011199951171875,-0.00304706017587512,0.0008070699415001199,0.8837890625,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.6,10,0.9714375376701355,0.9753900444507598,-0.003952506780624388,-0.006749329370421941,-0.001155684190826835,0.990234375,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.65,10,0.9701125383377075,0.9752700459957124,-0.005157507658004767,-0.00962344063244807,-0.0006915746835614639,0.9951171875,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.7,10,0.9707750499248504,0.9755750489234926,-0.004799998998641952,-0.007780153657729912,-0.0018198443395539914,0.9970703125,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.75,10,0.9717875301837922,0.9757075452804566,-0.003920015096664442,-0.006632010031482546,-0.0012080201618463377,0.9951171875,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.8,10,0.9714625418186188,0.9754175472259521,-0.003955005407333368,-0.005770424097164297,-0.002139586717502438,0.998046875,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.85,10,0.9717000424861908,0.975277544260025,-0.003577501773834224,-0.005933372934810603,-0.0012216306128578444,0.998046875,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.9,10,0.9713375389575958,0.9750775516033174,-0.003740012645721447,-0.005237195635071865,-0.0022428296563710283,0.9990234375,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,0.95,10,0.9709000408649444,0.9745625483989716,-0.003662507534027093,-0.004843784449776652,-0.002481230618277534,0.9990234375,1.0,0.9990234375,False,False
stl10,r50,geo_r,mean of 5 permutations,1.0,10,0.9745000600814819,0.9745000600814819,0.0,0.0,0.0,0.5,1.0,0.9990234375,False,False
stl10,r50,geo_m,mean of 5 permutations,0.05,10,0.9705750405788421,0.8490350449085234,0.12153999567031862,0.11571241008664632,0.12736758125399092,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.1,10,0.9762750506401062,0.9201200425624847,0.05615500807762145,0.05362136100066015,0.05868865515458275,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.15,10,0.9773875415325165,0.9458525395393371,0.031535001993179324,0.02890406476831694,0.03416593921804171,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.2,10,0.9776750445365906,0.9566875398159027,0.020987504720687854,0.01975614001703274,0.022218869424342966,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.25,10,0.9784250438213349,0.9627675461769105,0.015657497644424458,0.014746878822665854,0.01656811646618306,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.3,10,0.9784875452518463,0.9675400471687317,0.010947498083114637,0.009320625151825893,0.01257437101440338,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.35,10,0.9782375454902649,0.9697475469112395,0.00848999857902527,0.006828532018499438,0.010151465139551103,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.4,10,0.9795375406742096,0.9716375470161438,0.007899993658065796,0.007079932582832163,0.008720054733299428,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.45,10,0.9793625473976135,0.9731725466251374,0.0061900007724762,0.0052464473348026956,0.007133554210149705,0.0009765625,0.01953125,0.002170138888888889,True,True
stl10,r50,geo_m,mean of 5 permutations,0.5,10,0.9784125447273254,0.9741275453567505,0.004284999370574938,0.0008493402770604016,0.007720658464089475,0.0419921875,0.419921875,0.07634943181818182,False,False
stl10,r50,geo_m,mean of 5 permutations,0.55,10,0.977075046300888,0.9748600482940674,0.00221499800682069,-0.0013058427222851316,0.005735838735926512,0.052734375,0.474609375,0.087890625,False,False
stl10,r50,geo_m,mean of 5 permutations,0.6,10,0.9782250463962555,0.9752975463867187,0.0029275000095367433,0.0016697485528707487,0.004185251466202738,0.001953125,0.021484375,0.00390625,True,True
stl10,r50,geo_m,mean of 5 permutations,0.65,10,0.976412546634674,0.9758650469779967,0.0005474996566772527,-0.0010115250502465197,0.002106524363601025,0.1875,1.0,0.26785714285714285,False,False
stl10,r50,geo_m,mean of 5 permutations,0.7,10,0.9765750527381897,0.976020051240921,0.0005550014972686701,-0.0006676488648879311,0.0017776518594252713,0.0966796875,0.7734375,0.14873798076923078,False,False
